job_n,Energy,n_helices,r0_A,r0_B,r0_C,omega0,delta_omega0_A,delta_omega0_B,delta_omega0_C,z0_offset_A,z0_offset_B,z0_offset_C,helix1 phase,helix 2 phase,helix3 phase,invert_A,invert_B,invert_C,z1_offset_A,z1_offset_B,z1_offset_C,delta_t_A,delta_t_B,delta_t_C,omega1,z1
36191,-379.937,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36218,-395.552,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-3,-1.8,0,0,0,99.999268,1.51
36220,-396.519,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-3,0.6,0,0,0,99.999268,1.51
36221,-405.647,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-3,1.8,0,0,0,99.999268,1.51
36223,-400.336,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36224,-406.348,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36236,-405.097,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36241,-401.677,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36225,-295.941,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,-0.6,0,0,0,99.999268,1.51
36242,-408.357,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,1.8,-1.8,0,0,0,99.999268,1.51
36237,-398.522,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36239,-403.318,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36226,-405.264,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36238,-414.43,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,0.6,0.6,0,0,0,99.999268,1.51
36248,-409.389,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,3,-1.8,0,0,0,99.999268,1.51
36247,-400.526,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,3,-3,0,0,0,99.999268,1.51
36243,-406.271,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,1.8,-0.6,0,0,0,99.999268,1.51
36244,-405.39,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,1.8,0.6,0,0,0,99.999268,1.51
36228,-409.956,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,3,0,0,0,99.999268,1.51
36253,-385.172,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-3,-3,0,0,0,99.999268,1.51
36230,-410.392,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36227,-403.852,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36232,-402.678,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-0.6,0.6,0,0,0,99.999268,1.51
36250,-398.133,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36251,-402.791,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36249,-403.437,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,3,-0.6,0,0,0,99.999268,1.51
36233,-405.624,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-0.6,1.8,0,0,0,99.999268,1.51
36231,-405.654,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
36254,-380.582,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-3,-1.8,0,0,0,99.999268,1.51
36258,-381.678,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-3,3,0,0,0,99.999268,1.51
36259,-407.961,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36260,-395.481,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36283,-401.145,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,3,-3,0,0,0,99.999268,1.51
36273,-398.053,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36271,-408.809,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36277,-403.681,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36278,-397.264,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,1.8,-1.8,0,0,0,99.999268,1.51
36263,-404.175,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36265,-400.111,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,-0.6,-3,0,0,0,99.999268,1.51
36287,-388.204,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36285,-400.777,3,6,6,6,0,0,120,240,0,0,0,0,0,140,0,1,0,0,3,-0.6,0,0,0,99.999268,1.51
36292,-392.317,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-3,0.6,0,0,0,99.999268,1.51
36295,-388.165,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36296,-396.647,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36307,-405.03,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36310,-398.502,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,0.6,0.6,0,0,0,99.999268,1.51
36308,-413.819,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36297,-410.108,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-1.8,-0.6,0,0,0,99.999268,1.51
